t	x	y	r
9,409978E0	4,976187E-3	-4,123406E-3	6,462578E-3
9,426633E0	5,023682E-3	-4,233920E-3	6,569890E-3
9,443289E0	4,945430E-3	-4,370714E-3	6,600031E-3
9,459944E0	4,959555E-3	-4,254315E-3	6,534247E-3
9,493256E0	5,056118E-3	-4,385444E-3	6,693015E-3
9,593189E0	4,079686E-3	-3,984312E-3	5,702506E-3
9,609844E0	4,379762E-3	-3,868944E-3	5,843889E-3
9,626500E0	4,310970E-3	-4,064656E-3	5,925022E-3
9,892989E0	4,079686E-3	-3,984312E-3	5,702506E-3
9,909644E0	4,214221E-3	-4,205236E-3	5,953458E-3
9,926300E0	4,239356E-3	-4,355515E-3	6,078046E-3
9,976267E0	3,341709E-3	-4,722288E-3	5,785069E-3
1,002623E1	4,079686E-3	-4,353300E-3	5,966159E-3
1,005954E1	3,710697E-3	-4,168806E-3	5,581059E-3
1,007620E1	3,530178E-3	-4,334075E-3	5,589845E-3
1,009286E1	3,681049E-3	-4,383277E-3	5,723918E-3
1,010951E1	3,941163E-3	-4,544752E-3	6,015608E-3
1,012617E1	4,241270E-3	-4,340914E-3	6,068929E-3
1,014282E1	3,808566E-3	-4,322517E-3	5,761018E-3
1,015948E1	3,765264E-3	-4,516458E-3	5,880102E-3
1,019279E1	3,417116E-3	-3,822266E-3	5,127026E-3
1,022610E1	4,264180E-3	-3,615323E-3	5,590509E-3
1,024276E1	3,526203E-3	-3,984312E-3	5,320606E-3
1,025941E1	3,648391E-3	-4,229504E-3	5,585648E-3
1,029272E1	3,157215E-3	-3,799817E-3	4,940306E-3
1,030938E1	3,341709E-3	-3,430829E-3	4,789322E-3
1,032603E1	3,895192E-3	-2,877347E-3	4,842689E-3
1,034269E1	2,972721E-3	-2,692853E-3	4,011050E-3
1,037600E1	3,157215E-3	-2,877347E-3	4,271666E-3
1,039266E1	3,341709E-3	-3,984312E-3	5,200169E-3
1,045928E1	2,972721E-3	-4,168806E-3	5,120157E-3
1,047593E1	2,972721E-3	-4,168806E-3	5,120157E-3
1,049259E1	2,972721E-3	-3,246335E-3	4,401790E-3
1,050924E1	2,923179E-3	-3,187012E-3	4,324583E-3
1,069246E1	3,895192E-3	-3,615323E-3	5,314422E-3
1,070911E1	3,901955E-3	-3,719821E-3	5,390948E-3
1,072577E1	4,038987E-3	-3,640628E-3	5,437609E-3
1,074242E1	4,013710E-3	-3,552119E-3	5,359796E-3
1,075908E1	4,113274E-3	-3,606231E-3	5,470276E-3
1,077573E1	4,296548E-3	-3,563575E-3	5,582060E-3
1,079239E1	4,304644E-3	-3,437813E-3	5,508949E-3
1,080904E1	4,204878E-3	-3,434939E-3	5,429531E-3
1,082570E1	4,157963E-3	-3,439497E-3	5,396183E-3
1,084236E1	4,177267E-3	-3,504773E-3	5,452797E-3
1,085901E1	4,205870E-3	-3,449399E-3	5,439457E-3
1,087567E1	4,315425E-3	-3,451115E-3	5,525676E-3
1,089232E1	4,350093E-3	-3,455673E-3	5,555626E-3
1,090898E1	4,370650E-3	-3,383816E-3	5,527458E-3
1,095894E1	2,972721E-3	-3,984312E-3	4,971097E-3
1,099226E1	4,448674E-3	-4,353300E-3	6,224301E-3
1,102557E1	3,895192E-3	-4,353300E-3	5,841553E-3
1,104222E1	3,710697E-3	-4,168806E-3	5,581059E-3
1,105888E1	3,710697E-3	-4,722288E-3	6,005771E-3
1,107553E1	4,264180E-3	-4,537794E-3	6,226942E-3
1,109219E1	5,002157E-3	-4,537794E-3	6,753750E-3
1,112550E1	6,109121E-3	-3,984312E-3	7,293566E-3
1,114216E1	6,109121E-3	-3,984312E-3	7,293566E-3
1,117547E1	6,847098E-3	-2,139370E-3	7,173539E-3
1,119212E1	6,293616E-3	-2,692853E-3	6,845513E-3
1,120868E1	6,662604E-3	-2,692853E-3	7,186219E-3
1,122523E1	7,216086E-3	-3,430829E-3	7,990150E-3
1,124198E1	6,847098E-3	-3,246335E-3	7,577694E-3
1,125872E1	7,011594E-3	-3,433933E-3	7,807326E-3
1,129186E1	6,293616E-3	-2,508358E-3	6,775062E-3
1,130860E1	7,400581E-3	-3,246335E-3	8,081292E-3
1,132534E1	7,216086E-3	-3,061841E-3	7,838799E-3
1,134191E1	7,462308E-3	-3,164574E-3	8,105589E-3
1,137522E1	7,769569E-3	-2,877347E-3	8,285247E-3
1,139197E1	7,769569E-3	-3,061841E-3	8,351112E-3
1,140853E1	8,255805E-3	-2,978817E-3	8,776769E-3
1,145849E1	8,507546E-3	-3,430829E-3	9,173272E-3
1,147513E1	8,323051E-3	-3,246335E-3	8,933749E-3
1,150842E1	8,641318E-3	-3,437664E-3	9,299996E-3
1,152507E1	8,692040E-3	-3,246335E-3	9,278483E-3
1,154171E1	8,876534E-3	-3,061841E-3	9,389767E-3
1,155836E1	8,507546E-3	-3,984312E-3	9,394311E-3
1,157500E1	9,983499E-3	-3,615323E-3	1,061795E-2
1,159164E1	9,245522E-3	-4,168806E-3	1,014192E-2
1,160829E1	8,876534E-3	-3,799817E-3	9,655644E-3
1,162493E1	9,061028E-3	-3,430829E-3	9,688799E-3
