	tracker2
t	x	y	r
7,294800E0	3,602586E-3	-7,966544E-4	3,689618E-3
7,311544E0	3,847821E-3	-9,620411E-4	3,966264E-3
7,328111E0	3,624021E-3	-4,954701E-4	3,657734E-3
7,344678E0	3,439914E-3	-2,152433E-3	4,057829E-3
7,361422E0	2,887593E-3	-2,520647E-3	3,832996E-3
7,378167E0	2,887593E-3	-2,336540E-3	3,714514E-3
7,411300E0	3,808128E-3	-2,704754E-3	4,670924E-3
7,428044E0	3,808128E-3	-2,888861E-3	4,779891E-3
7,444689E0	3,808128E-3	-2,888861E-3	4,779891E-3
7,461333E0	4,176342E-3	-3,072968E-3	5,185071E-3
7,477978E0	3,808128E-3	-2,520647E-3	4,566782E-3
7,494622E0	4,176342E-3	-2,704754E-3	4,975694E-3
7,511267E0	3,808128E-3	-3,257075E-3	5,011026E-3
7,527911E0	3,992235E-3	-2,704754E-3	4,822202E-3
7,544556E0	3,992235E-3	-3,257075E-3	5,152328E-3
7,561200E0	3,992235E-3	-3,257075E-3	5,152328E-3
7,577844E0	3,992235E-3	-3,257075E-3	5,152328E-3
7,594489E0	3,992235E-3	-3,257075E-3	5,152328E-3
7,611133E0	3,992235E-3	-3,257075E-3	5,152328E-3
7,627889E0	3,808612E-3	-3,338141E-3	5,064456E-3
7,644544E0	3,841897E-3	-3,287942E-3	5,056752E-3
7,661200E0	3,890003E-3	-3,267458E-3	5,080197E-3
7,677856E0	3,755797E-3	-3,289244E-3	4,992509E-3
7,694511E0	3,765586E-3	-3,231737E-3	4,962233E-3
7,711167E0	3,857832E-3	-3,380334E-3	5,129281E-3
7,727822E0	3,837246E-3	-3,358941E-3	5,099700E-3
7,744478E0	3,816867E-3	-3,303531E-3	5,047949E-3
7,761133E0	3,789632E-3	-3,432117E-3	5,112801E-3
7,777789E0	3,685999E-3	-3,468200E-3	5,061127E-3
7,794444E0	3,751187E-3	-3,413504E-3	5,071826E-3
7,811100E0	3,734501E-3	-3,503048E-3	5,120337E-3
7,827756E0	3,652535E-3	-3,503530E-3	5,061199E-3
7,844411E0	3,773660E-3	-3,439860E-3	5,106187E-3
7,861067E0	3,570389E-3	-3,538507E-3	5,026799E-3
7,877722E0	3,465329E-3	-3,461622E-3	4,898095E-3
7,894378E0	3,481102E-3	-3,343526E-3	4,826722E-3
7,911033E0	3,437020E-3	-3,473140E-3	4,886288E-3
7,927689E0	3,403873E-3	-3,432687E-3	4,834221E-3
7,944344E0	3,496435E-3	-3,398751E-3	4,876122E-3
7,961000E0	3,587816E-3	-3,432340E-3	4,965217E-3
7,994311E0	3,793081E-3	-3,354284E-3	5,063466E-3
8,027622E0	3,624021E-3	-3,072968E-3	4,751490E-3
8,044278E0	3,624021E-3	-3,072968E-3	4,751490E-3
8,060933E0	3,624021E-3	-2,888861E-3	4,634549E-3
8,077589E0	3,071700E-3	-2,888861E-3	4,216736E-3
8,094244E0	3,255807E-3	-2,888861E-3	4,352677E-3
8,110900E0	3,439914E-3	-3,072968E-3	4,612607E-3
8,127556E0	3,439914E-3	-2,704754E-3	4,375923E-3
8,144211E0	3,433350E-3	-2,544370E-3	4,273372E-3
8,160867E0	3,457304E-3	-2,460583E-3	4,243515E-3
8,177522E0	3,607274E-3	-2,418855E-3	4,343188E-3
8,344078E0	4,176342E-3	-2,888861E-3	5,078125E-3
8,444011E0	4,360449E-3	-2,520647E-3	5,036584E-3
8,460667E0	4,360449E-3	-2,520647E-3	5,036584E-3
8,477322E0	4,176342E-3	-2,520647E-3	4,878063E-3
8,493978E0	4,176342E-3	-2,520647E-3	4,878063E-3
8,510633E0	4,377770E-3	-2,263503E-3	4,928318E-3
8,543944E0	3,624021E-3	-2,704754E-3	4,522082E-3
8,560600E0	3,319626E-3	-3,188766E-3	4,603058E-3
8,577256E0	2,937660E-3	-3,619824E-3	4,661864E-3
8,593911E0	3,189837E-3	-3,654289E-3	4,850659E-3
8,610567E0	3,464421E-3	-3,330568E-3	4,805715E-3
8,627222E0	3,834656E-3	-3,221522E-3	5,008272E-3
8,677189E0	4,176342E-3	-2,888861E-3	5,078125E-3
8,727156E0	3,808128E-3	-2,520647E-3	4,566782E-3
8,743811E0	3,977523E-3	-2,502616E-3	4,699338E-3
8,777122E0	4,176342E-3	-2,888861E-3	5,078125E-3
