	tracker3
t	x	y	r
6,195511E0	4,433982E-3	-3,303076E-3	5,529060E-3
6,212267E0	4,059558E-3	-3,677500E-3	5,477592E-3
6,228922E0	4,433982E-3	-3,115865E-3	5,419300E-3
6,262233E0	5,931675E-3	-3,864711E-3	7,079602E-3
6,278889E0	5,931675E-3	-4,426347E-3	7,401170E-3
6,328856E0	7,054945E-3	-4,987982E-3	8,640151E-3
6,345511E0	7,194676E-3	-5,282327E-3	8,925600E-3
6,362167E0	6,867734E-3	-4,613558E-3	8,273493E-3
6,395478E0	6,306099E-3	-4,800770E-3	7,925545E-3
6,412133E0	5,931675E-3	-5,362405E-3	7,996259E-3
6,428789E0	6,493310E-3	-4,987982E-3	8,187981E-3
6,445444E0	7,803792E-3	-4,800770E-3	9,162236E-3
6,462100E0	7,242157E-3	-4,239135E-3	8,391609E-3
6,478756E0	7,054945E-3	-4,800770E-3	8,533443E-3
6,495411E0	6,867734E-3	-4,051923E-3	7,973948E-3
6,512067E0	7,429369E-3	-3,864711E-3	8,374456E-3
6,528722E0	6,493310E-3	-4,426347E-3	7,858474E-3
6,545378E0	6,867734E-3	-4,239135E-3	8,070690E-3
6,562033E0	7,320857E-3	-4,645305E-3	8,670283E-3
6,612000E0	7,242157E-3	-4,426347E-3	8,487719E-3
6,628656E0	7,242157E-3	-4,613558E-3	8,586836E-3
